,site,N_hours,N_years
0,JAR1,203534,23.234474885844747
1,NASA-E,222897,25.44486301369863
2,PetermannGlacier,34243,3.9090182648401828
3,NASA-SE,187790,21.437214611872147
4,GITS,229536,26.202739726027396
5,Swiss Camp,241844,27.607762557077624
6,DYE-2,237161,27.073173515981736
7,KULU,10867,1.2405251141552511
8,NEEM,144848,16.535159817351598
9,KAR,18045,2.059931506849315
10,NASA-U,245895,28.070205479452056
11,PetermannELA,165588,18.9027397260274
12,EastGRIP,79745,9.103310502283104
13,Tunu-N,237500,27.11187214611872
14,Saddle,214677,24.50650684931507
15,SwissCamp10m,266733,30.448972602739726
16,Humboldt,248118,28.323972602739726
17,Summit,231425,26.41837899543379
18,South Dome,211801,24.178196347031964
19,NGRIP,69356,7.917351598173516
20,Crawford Point1,220608,25.183561643835617
21,Aurora,7571,0.8642694063926941
