date,lon,lat,elev,TA1,TA2,TA3,TA4,RH1,RH2,VW1,VW2,DW1,DW2,P
1999-06-20 04:00:00+00:00,-39.6018,65.7585,900.0,,,,,,,,0.27,5.9,,
1999-06-20 05:00:00+00:00,-39.6018,65.7585,900.0,,,,,,,,0.0,5.9,,
1999-06-20 06:00:00+00:00,-39.6018,65.7585,900.0,,,,,,,,0.0,4.6,,
1999-06-20 07:00:00+00:00,-39.6018,65.7585,900.0,,,,,,,,0.0,4.0,,
1999-06-20 08:00:00+00:00,-39.6018,65.7585,900.0,,,,-34.22,,,,0.12,5.3,,
1999-06-20 09:00:00+00:00,-39.6018,65.7585,900.0,,,,-27.96,,,,0.25,7.9,,
1999-06-20 10:00:00+00:00,-39.6018,65.7585,900.0,,,,-21.71,,,,0.37,11.3,,
1999-06-20 11:00:00+00:00,-39.6018,65.7585,900.0,,,,-15.46,,,,0.49,15.5,1.6,
1999-06-20 12:00:00+00:00,-39.6018,65.7585,900.0,,,,-9.21,,,,0.62,21.0,8.2,
1999-06-20 13:00:00+00:00,-39.6018,65.7585,900.0,2.16,2.16,-38.01,-2.95,,,0.0,0.74,,14.8,
1999-06-20 14:00:00+00:00,-39.6018,65.7585,900.0,2.02,2.02,-18.22,3.3,58.53,79.69,0.36,0.36,145.6,18.4,
1999-06-20 15:00:00+00:00,-39.6018,65.7585,900.0,2.51,1.92,1.56,1.76,85.5,81.0,1.23,1.06,65.9,22.0,
1999-06-20 16:00:00+00:00,-39.6018,65.7585,900.0,1.42,1.58,0.46,1.41,86.6,88.1,2.28,4.53,30.9,25.5,768.0
1999-06-20 17:00:00+00:00,-39.6018,65.7585,900.0,2.77,3.53,1.87,3.31,82.5,83.48,0.63,1.87,57.3,58.8,833.0
1999-06-20 18:00:00+00:00,-39.6018,65.7585,900.0,2.07,2.09,1.44,2.05,86.7,86.0,0.42,1.8,101.6,104.0,898.0
1999-06-20 19:00:00+00:00,-39.6018,65.7585,900.0,1.4,1.29,0.5,1.19,86.7,88.5,1.25,2.58,32.9,29.7,897.7
1999-06-20 20:00:00+00:00,-39.6018,65.7585,900.0,1.53,1.55,0.55,1.33,85.2,85.9,1.44,2.93,25.6,10.3,897.3
1999-06-20 21:00:00+00:00,-39.6018,65.7585,900.0,1.23,1.48,0.25,1.21,85.7,85.7,1.63,3.27,23.5,15.1,896.7
1999-06-20 22:00:00+00:00,-39.6018,65.7585,900.0,0.94,1.28,-0.03,1.0,83.68,81.6,1.82,3.62,39.7,36.9,895.9
