time,longitude,latitude,elevation,T1,T2,RH1,RH2,VW1,VW2,DW1,DW2,HW1,HW2,P
2000-06-24 14:00:00+00:00,-47.2922,67.1358,1798.0,-33.98,nan,41.15,,8.09,8.61,156.3,184.1,2.0,3.2,
2000-06-24 15:00:00+00:00,-47.2922,67.1358,1798.0,-19.60,nan,67.82,,7.82,8.32,152.4,183.9,2.0,3.2,
2000-06-24 16:00:00+00:00,-47.2922,67.1358,1798.0,-5.22,nan,73.06,,7.64,8.16,154.7,186.0,2.0,3.2,
2000-06-24 17:00:00+00:00,-47.2922,67.1358,1798.0,-4.87,nan,72.89,,6.77,7.17,154.3,186.5,1.99,3.19,
2000-06-24 18:00:00+00:00,-47.2922,67.1358,1798.0,-5.03,nan,73.86,,6.72,7.15,151.6,190.7,1.99,3.19,
2000-06-24 19:00:00+00:00,-47.2922,67.1358,1798.0,-5.33,nan,70.1,,6.67,7.11,152.9,201.0,1.99,3.19,
2000-06-24 20:00:00+00:00,-47.2922,67.1358,1798.0,-6.33,nan,76.51,,6.66,7.08,147.6,206.1,1.99,3.19,
2000-06-24 21:00:00+00:00,-47.2922,67.1358,1798.0,-6.76,nan,67.26,,6.37,6.83,129.3,184.0,1.99,3.19,
2000-06-24 22:00:00+00:00,-47.2922,67.1358,1798.0,-8.19,nan,75.71,,7.68,8.11,146.8,188.4,1.99,3.19,837.7
2000-06-24 23:00:00+00:00,-47.2922,67.1358,1798.0,-9.29,nan,77.05,,8.16,8.51,144.0,192.8,1.99,3.19,838.0
2000-06-25 00:00:00+00:00,-47.2922,67.1358,1798.0,-10.28,nan,77.95,,8.47,8.82,144.1,197.2,1.99,3.19,838.6
2000-06-25 01:00:00+00:00,-47.2922,67.1358,1798.0,-11.32,nan,79.87,,8.4,8.72,145.2,201.6,1.99,3.19,839.6
2000-06-25 02:00:00+00:00,-47.2922,67.1358,1798.0,-12.07,nan,78.87,,8.57,8.91,144.9,206.0,1.99,3.19,840.0
2000-06-25 03:00:00+00:00,-47.2922,67.1358,1798.0,-13.04,nan,80.33,,8.14,8.45,142.8,208.1,1.99,3.19,840.7
2000-06-25 04:00:00+00:00,-47.2922,67.1358,1798.0,-13.50,nan,79.64,,8.14,8.47,140.1,211.1,1.99,3.19,840.7
2000-06-25 05:00:00+00:00,-47.2922,67.1358,1798.0,-13.11,nan,75.83,,8.87,9.23,139.1,212.2,1.99,3.19,841.1
2000-06-25 06:00:00+00:00,-47.2922,67.1358,1798.0,-12.84,nan,73.8,,8.45,8.79,137.2,213.3,1.99,3.19,840.7
2000-06-25 07:00:00+00:00,-47.2922,67.1358,1798.0,-11.96,nan,71.23,,8.33,8.66,139.5,212.3,1.99,3.19,840.6
2000-06-25 08:00:00+00:00,-47.2922,67.1358,1798.0,-10.79,nan,68.39,,7.73,8.03,143.5,209.1,1.99,3.19,840.1
2000-06-25 09:00:00+00:00,-47.2922,67.1358,1798.0,-9.86,nan,67.08,,7.82,8.11,141.8,208.7,1.99,3.19,839.0
2000-06-25 10:00:00+00:00,-47.2922,67.1358,1798.0,-6.44,-4.30,64.44,,7.53,7.88,143.2,210.6,2.0,3.2,838.5
2000-06-25 11:00:00+00:00,-47.2922,67.1358,1798.0,-5.84,-3.96,64.86,,7.33,7.64,144.6,206.7,2.0,3.2,838.0
2000-06-25 12:00:00+00:00,-47.2922,67.1358,1798.0,-4.39,-2.28,63.89,,7.26,7.52,149.2,201.7,2.0,3.2,836.6
2000-06-25 13:00:00+00:00,-47.2922,67.1358,1798.0,-3.25,-0.94,63.1,,7.0,7.27,150.0,200.1,2.0,3.2,835.6
2000-06-25 14:00:00+00:00,-47.2922,67.1358,1798.0,-2.44,-0.08,63.46,,6.68,6.94,156.3,193.7,2.0,3.2,834.9
