time,longitude,latitude,elevation,T1,T2,RH1,RH2,VW1,VW2,DW1,DW2,HW1,HW2,P
2000-05-28 15:00:00+00:00,-50.31,69.394,323.0,9.09,6.55,69.46,72.66,0.0,0.0,,,,,
2000-05-28 16:00:00+00:00,-50.31,69.394,323.0,4.94,5.30,70.13,83.68,0.0,0.0,,,,,
2000-05-28 17:00:00+00:00,-50.31,69.394,323.0,2.95,2.48,78.63,83.37,0.0,0.0,,,0.0,,
2000-05-28 18:00:00+00:00,-50.31,69.394,323.0,1.88,2.08,89.75,90.4,0.42,0.13,81.3,95.1,0.06,,
2000-05-28 19:00:00+00:00,-50.31,69.394,323.0,0.95,1.06,92.8,93.4,0.57,0.58,63.8,63.1,0.07,,
2000-05-28 20:00:00+00:00,-50.31,69.394,323.0,0.96,1.19,92.92,93.12,0.6,0.7,116.3,51.7,0.07,,
2000-05-28 21:00:00+00:00,-50.31,69.394,323.0,0.72,0.88,95.06,95.0,0.48,0.52,71.9,115.2,0.07,,
2000-05-28 22:00:00+00:00,-50.31,69.394,323.0,-0.18,-0.22,100.06,100.82,1.13,1.27,38.1,174.5,0.07,,
2000-05-28 23:00:00+00:00,-50.31,69.394,323.0,-0.50,-0.53,104.18,105.02,1.45,1.63,,171.8,0.07,,
2000-05-29 00:00:00+00:00,-50.31,69.394,323.0,-0.68,-0.72,104.85,105.58,1.58,1.77,,165.8,0.07,,
2000-05-29 01:00:00+00:00,-50.31,69.394,323.0,-0.91,-0.96,105.02,105.73,2.03,2.27,,165.3,0.07,,
2000-05-29 02:00:00+00:00,-50.31,69.394,323.0,-1.17,-1.24,104.48,105.18,2.22,2.48,,176.7,0.07,,
2000-05-29 03:00:00+00:00,-50.31,69.394,323.0,-1.26,-1.33,104.47,105.06,2.08,2.33,,166.8,0.07,,
2000-05-29 04:00:00+00:00,-50.31,69.394,323.0,-1.26,-1.31,104.47,105.17,2.27,2.54,,149.7,0.07,,
2000-05-29 05:00:00+00:00,-50.31,69.394,323.0,-1.56,-1.58,103.83,104.31,2.1,2.44,38.5,163.0,0.07,,
2000-05-29 06:00:00+00:00,-50.31,69.394,323.0,-1.60,-1.67,103.22,103.69,2.13,2.38,,161.3,0.07,,
2000-05-29 07:00:00+00:00,-50.31,69.394,323.0,-1.35,-1.44,101.73,102.01,1.95,2.19,,165.2,0.07,,
2000-05-29 08:00:00+00:00,-50.31,69.394,323.0,-1.25,-1.30,100.23,100.43,1.78,1.99,,161.1,0.07,,
